,GOOGL US Equity,FB US Equity,MSFT US Equity,UCG IM Equity,TMUS US Equity,BABA US Equity,9984 JP Equity,000660 KS Equity,KKR US Equity,ANTM US Equity,PYPL US Equity,IQV US Equity,LKQ US Equity,WLTW US Equity,AIR FP Equity,CTSH US Equity,BAC US Equity,LNC US Equity,AENA SM Equity,CMCSA US Equity,FLT US Equity,700 HK Equity,ADBE US Equity,FAF US Equity,HSY US Equity,3026 TT Equity,ZS US Equity,ZUO US Equity,2327 TT Equity,TRVG US Equity,2492 TT Equity,CBLK US Equity,SBH US Equity,BATS LN Equity,DF US Equity,TGT US Equity,AEO US Equity,DOCU US Equity,DLX US Equity,HIBB US Equity,PS US Equity,CDAY US Equity,6753 JP Equity,ENPH US Equity,EIF CN Equity,CM CN Equity,QD US Equity,NA CN Equity,AVLR US Equity,WDI GY Equity,CLX US Equity,DIGI MK Equity,BPY US Equity,CHD US Equity,FL US Equity,MO US Equity,ELLI US Equity,RMG LN Equity,WPG US Equity,K US Equity,DG US Equity,OZK US Equity,WAT US Equity,FLT AU Equity,SWCH US Equity,HFG GR Equity,SSYS US Equity,NPK US Equity,IWM US Equity,CAKE US Equity,RGR US Equity,AGN NA Equity,RLI US Equity,AAOI US Equity,001820 KS Equity,SSTK US Equity,NTRI US Equity,MAXIS MK Equity,CWB CN Equity,MYGN US Equity,AMN US Equity,HRL US Equity,4062 JP Equity,SPG US Equity,GSKY US Equity,SPY US Equity,QQQ US Equity
,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
1/13/2011,308.644,#N/A N/A,28.19,56.1097,25.92,#N/A N/A,2834,27250,15.65,61.81,#N/A N/A,#N/A N/A,11.87,92.6885,20.3,37.295,14.77,29.01,#N/A N/A,11.27,30.2,38.82,33.38,14.96,49.81,75.1,#N/A N/A,#N/A N/A,100.04,#N/A N/A,26.6,#N/A N/A,13.9,2325,9.2636,55.42,14.02,#N/A N/A,24.16,34.51,#N/A N/A,#N/A N/A,8970,#N/A N/A,18,76.94,#N/A N/A,34.53,#N/A N/A,10.92,63.42,2.508,#N/A N/A,17.4275,18.52,24.12,#N/A N/A,#N/A N/A,#N/A N/A,51.5,28.7,10.545,76.39,24.56,#N/A N/A,#N/A N/A,35.68,134.44,79.94,30,15.27,5.155,26.035,#N/A N/A,10950,#N/A N/A,19.65,5.31,28.45,21.59,6.53,12.6,2829,92.284,#N/A N/A,128.3675,56.575
1/14/2011,312.392,#N/A N/A,28.3,56.5718,26.12,#N/A N/A,2834,27250,15.68,63.55,#N/A N/A,#N/A N/A,11.665,94.066,20.75,37.505,15.25,29.27,#N/A N/A,11.36,30.25,40.2,33.79,15.02,49.55,74.9,#N/A N/A,#N/A N/A,100.4,#N/A N/A,26.53,#N/A N/A,13.63,2366.5,9.245,55.07,14.04,#N/A N/A,24.23,34.67,#N/A N/A,#N/A N/A,8760,#N/A N/A,18.08,78.36,#N/A N/A,35.47,#N/A N/A,11.13,63.98,2.508,#N/A N/A,17.47,18.53,24.16,#N/A N/A,#N/A N/A,#N/A N/A,51,29.46,10.775,76.44,24.71,#N/A N/A,#N/A N/A,35.43,136.43,80.54,30.62,15.42,5.205,26.085,#N/A N/A,11000,#N/A N/A,19.59,5.35,29.23,21.47,6.62,12.595,2860,93.027,#N/A N/A,129.3,57
1/17/2011,312.392,#N/A N/A,28.3,56.1427,26.12,#N/A N/A,2817,26900,15.68,63.55,#N/A N/A,#N/A N/A,11.665,94.066,20.8,37.505,15.25,29.27,#N/A N/A,11.36,30.25,40.28,33.79,15.02,49.55,74.8,#N/A N/A,#N/A N/A,102.16,#N/A N/A,26.46,#N/A N/A,13.63,2353,9.245,55.07,14.04,#N/A N/A,24.23,34.67,#N/A N/A,#N/A N/A,8770,#N/A N/A,18.5,78,#N/A N/A,35.32,#N/A N/A,11.53,63.98,2.528,#N/A N/A,17.47,18.53,24.16,#N/A N/A,#N/A N/A,#N/A N/A,51,29.46,10.775,76.44,24.38,#N/A N/A,#N/A N/A,35.43,136.43,80.54,30.62,15.42,5.279,26.085,#N/A N/A,10850,#N/A N/A,19.59,5.39,29.57,21.47,6.62,12.595,2906,93.027,#N/A N/A,129.3,57
1/18/2011,320.125,#N/A N/A,28.66,57.1329,25.66,#N/A N/A,2838,27650,15.7,62.97,#N/A N/A,#N/A N/A,11.78,94.1719,21.45,37.755,15,29.36,#N/A N/A,11.39,30.23,40.2,34.18,15.25,49.7,75.2,#N/A N/A,#N/A N/A,104.62,#N/A N/A,26.94,#N/A N/A,13.19,2371.5,9.2357,54.63,14.12,#N/A N/A,24.19,33.75,#N/A N/A,#N/A N/A,8720,#N/A N/A,18.9,77.39,#N/A N/A,35.455,#N/A N/A,12.285,63.9,2.53,#N/A N/A,17.5925,18.52,24.08,#N/A N/A,#N/A N/A,#N/A N/A,51.14,30,10.76,77.41,24.63,#N/A N/A,#N/A N/A,35.6,135.26,80.6,30.43,15.28,5.347,26.095,#N/A N/A,10900,#N/A N/A,19.54,5.4,29.39,20.74,6.76,12.7025,2861,93.826,#N/A N/A,129.52,57.16
1/19/2011,316.181,#N/A N/A,28.47,58.8492,25.06,#N/A N/A,2801,27850,15.25,62.06,#N/A N/A,#N/A N/A,11.685,93.907,20.95,37.275,14.37,28.69,#N/A N/A,11.55,30.19,40.16,33.91,15.17,49.2,75.31,#N/A N/A,#N/A N/A,104.97,#N/A N/A,26.87,#N/A N/A,12.66,2337.5,8.9567,54.53,14.39,#N/A N/A,23.69,33.18,#N/A N/A,#N/A N/A,8760,#N/A N/A,19.59,76.5,#N/A N/A,35.385,#N/A N/A,12.47,63.37,2.558,#N/A N/A,17.5425,18.34,23.99,#N/A N/A,#N/A N/A,#N/A N/A,51.05,29.33,10.5725,75.51,24.78,#N/A N/A,#N/A N/A,34.78,132.94,78.53,29.88,15.09,5.29,25.97,#N/A N/A,10900,#N/A N/A,18.86,5.4,28.97,20.5,6.51,12.65,2861,92.829,#N/A N/A,128.25,56.51
1/20/2011,313.689,#N/A N/A,28.3525,60.1364,25.2,#N/A N/A,2764,28200,15.04,61.56,#N/A N/A,#N/A N/A,11.63,93.907,20.56,36.805,14.54,28.84,#N/A N/A,11.63,30.05,39.1,33.49,15.38,49.19,76.53,#N/A N/A,#N/A N/A,107.79,#N/A N/A,28.22,#N/A N/A,12.91,2297,9.1706,55.55,14.64,#N/A N/A,23.84,33.35,#N/A N/A,#N/A N/A,8670,#N/A N/A,19.55,76.25,#N/A N/A,35.005,#N/A N/A,12.15,63.97,2.558,#N/A N/A,17.52,18.3,24.04,#N/A N/A,#N/A N/A,#N/A N/A,51.68,29.48,10.4775,75.79,24.7,#N/A N/A,#N/A N/A,33.82,132.94,77.71,30.24,14.88,5.326,25.815,#N/A N/A,10900,#N/A N/A,18.87,5.4,29.01,20.83,6.34,12.675,2778,92.876,#N/A N/A,128.08,56.11
1/21/2011,306.211,#N/A N/A,28.02,60.6315,25.44,#N/A N/A,2701,28100,15.11,61.45,#N/A N/A,#N/A N/A,11.705,93.3243,20.39,36.525,14.25,29.01,#N/A N/A,11.7653,30.5,38.02,33.27,15.55,49.39,76.22,#N/A N/A,#N/A N/A,106.38,#N/A N/A,28.02,#N/A N/A,12.7,2282.5,9.7286,55.73,14.51,#N/A N/A,23.59,33.33,#N/A N/A,#N/A N/A,8590,#N/A N/A,19.63,75.37,#N/A N/A,34.84,#N/A N/A,12.3,63.74,2.556,#N/A N/A,17.425,18.14,24.09,#N/A N/A,#N/A N/A,#N/A N/A,51.95,29.41,10.5775,76.25,24.55,#N/A N/A,#N/A N/A,33.24,130.18,77.19,30.53,14.96,5.335,25.49,#N/A N/A,10550,#N/A N/A,18.89,5.38,28.55,20.83,6.17,12.69,2692,93.582,#N/A N/A,128.37,55.68
1/24/2011,305.836,#N/A N/A,28.38,61.9847,25.7,#N/A N/A,2752,28350,15.07,60.99,#N/A N/A,#N/A N/A,12.03,95.0461,20.54,37.135,13.92,29,#N/A N/A,11.8,31.57,38.02,34.03,15.34,48.79,76.02,#N/A N/A,#N/A N/A,106.74,#N/A N/A,28.02,#N/A N/A,12.88,2373,9.6449,55.8,14.44,#N/A N/A,24.21,33.89,#N/A N/A,#N/A N/A,8630,#N/A N/A,19.95,75.86,#N/A N/A,34.945,#N/A N/A,12.25,63.78,2.544,#N/A N/A,17.65,18.43,24.42,#N/A N/A,#N/A N/A,#N/A N/A,51.85,29,10.565,78.26,24.53,#N/A N/A,#N/A N/A,33.49,127.5,77.76,30.01,14.92,5.372,25.49,#N/A N/A,10550,#N/A N/A,19.25,5.36,28.99,21.2,6.24,12.695,2704,93.788,#N/A N/A,129.1,56.45
1/25/2011,310.255,#N/A N/A,28.45,60.4335,26.98,#N/A N/A,2803,27400,14.83,61.7,#N/A N/A,#N/A N/A,12.16,96.8474,20.74,36.675,13.63,29.16,#N/A N/A,11.67,31.05,39.82,33.56,15.75,49.6,75.71,#N/A N/A,#N/A N/A,110.61,#N/A N/A,28.09,#N/A N/A,13.01,2355,9.7937,55.95,14.44,#N/A N/A,24.33,33.29,#N/A N/A,#N/A N/A,8680,#N/A N/A,19.91,76.44,#N/A N/A,34.705,#N/A N/A,12.165,63.37,2.546,#N/A N/A,17.7775,18.22,24.29,#N/A N/A,#N/A N/A,#N/A N/A,51.73,28.7,11.025,77.99,24.38,#N/A N/A,#N/A N/A,33.25,128.13,77.88,31.18,15.08,5.322,26.52,#N/A N/A,10550,#N/A N/A,19.09,5.32,28.9,21.54,6.2,12.5775,2794,94.55,#N/A N/A,129.17,56.5325
1/26/2011,308.549,#N/A N/A,28.78,59.5423,27.14,#N/A N/A,2800,28200,14.96,62.55,#N/A N/A,#N/A N/A,12.145,98.8872,20.75,36.61,13.55,29.39,#N/A N/A,11.66,31.3,40.56,33.52,16.46,48.52,77.04,#N/A N/A,#N/A N/A,108.85,#N/A N/A,27.61,#N/A N/A,13.06,2376,9.5705,55.59,14.49,#N/A N/A,24.57,33.31,#N/A N/A,#N/A N/A,8690,#N/A N/A,20.08,76.11,#N/A N/A,34.975,#N/A N/A,12.12,63.58,2.51,#N/A N/A,17.7075,17.43,24.265,#N/A N/A,#N/A N/A,#N/A N/A,51.5,28.75,10.9725,76.66,24.38,#N/A N/A,#N/A N/A,34.06,130.49,79.12,30.54,15.43,5.346,27.145,#N/A N/A,10550,#N/A N/A,19.17,5.31,29.24,21.88,6.37,12.6975,2781,94.691,#N/A N/A,129.67,56.83
1/27/2011,308.694,#N/A N/A,28.87,60.9946,27.18,#N/A N/A,2857,28000,14.98,64.36,#N/A N/A,#N/A N/A,12.095,100.556,21.585,36.585,13.67,30.04,#N/A N/A,11.655,30.2,39.98,33.85,16.52,47.83,76.33,#N/A N/A,#N/A N/A,107.09,#N/A N/A,27.55,#N/A N/A,13.33,2370,9.7007,54.83,14.82,#N/A N/A,25.54,33.67,#N/A N/A,#N/A N/A,8770,#N/A N/A,19.9,75.83,#N/A N/A,35.04,#N/A N/A,11.555,64.32,2.53,#N/A N/A,17.3525,18.15,23.92,#N/A N/A,#N/A N/A,#N/A N/A,50.85,28.67,10.9425,77.68,24.28,#N/A N/A,#N/A N/A,33.61,128.88,79.35,30.13,15.46,5.488,27.19,#N/A N/A,10450,#N/A N/A,19.25,5.35,29.54,22.41,6.26,12.615,2799,95.293,#N/A N/A,129.99,57.18
1/28/2011,300.786,#N/A N/A,27.751,60.3014,26.32,#N/A N/A,2863,29500,14.99,62.66,#N/A N/A,#N/A N/A,11.845,100.2381,21.655,35.815,13.6,29.07,#N/A N/A,11.42,29.98,40.68,32.49,16.14,47.04,75.82,#N/A N/A,#N/A N/A,107.44,#N/A N/A,27.55,#N/A N/A,13.09,2307.5,9.3287,54.35,14.56,#N/A N/A,24.24,32.48,#N/A N/A,#N/A N/A,8670,#N/A N/A,19.79,75.82,#N/A N/A,35.075,#N/A N/A,11.5,63.79,2.53,#N/A N/A,17.235,17.77,23.79,#N/A N/A,#N/A N/A,#N/A N/A,50.49,28.4,10.73,76.06,23.87,#N/A N/A,#N/A N/A,32.5,125.81,77.41,29.49,14.85,5.545,26.685,#N/A N/A,10400,#N/A N/A,18.86,5.32,29.84,19.3,5.85,12.42,2835,93.995,#N/A N/A,127.72,55.73
1/31/2011,300.471,#N/A N/A,27.725,59.7073,25.86,#N/A N/A,2823,29650,14.99,62.12,#N/A N/A,#N/A N/A,12.08,99.5494,21.05,36.475,13.73,28.84,#N/A N/A,11.375,30,40.4,33.05,15.51,46.69,75.82,#N/A N/A,#N/A N/A,107.44,#N/A N/A,27.55,#N/A N/A,13.16,2305,9.4403,54.83,14.46,#N/A N/A,24.45,32.02,#N/A N/A,#N/A N/A,8510,#N/A N/A,19.89,76.27,#N/A N/A,34.905,#N/A N/A,11.715,62.89,2.56,#N/A N/A,17.2025,17.86,23.51,#N/A N/A,#N/A N/A,#N/A N/A,50.3,27.81,10.7825,76.39,23.45,#N/A N/A,#N/A N/A,33.03,128.02,77.95,29.51,14.91,5.41,26.935,#N/A N/A,10100,#N/A N/A,18.96,5.34,29.64,19.96,5.8,12.35,2774,95.387,#N/A N/A,128.68,56
2/1/2011,305.816,#N/A N/A,27.9925,60.3674,26.04,#N/A N/A,2818,29650,15.54,63.75,#N/A N/A,#N/A N/A,12.35,99.4434,20.975,37.675,14.31,30.32,#N/A N/A,11.7,30.04,40.08,33.51,16.13,47.14,75.82,#N/A N/A,#N/A N/A,107.44,#N/A N/A,27.55,#N/A N/A,13.39,2321.5,9.6356,54.64,14.67,#N/A N/A,25.14,33.29,#N/A N/A,#N/A N/A,8440,#N/A N/A,19.85,77.06,#N/A N/A,35.2,#N/A N/A,11.85,63.51,2.56,#N/A N/A,17.3525,18.01,23.58,#N/A N/A,#N/A N/A,#N/A N/A,50.2,28.85,10.9975,77.7,24.19,#N/A N/A,#N/A N/A,33.58,128.98,79.75,30.08,15.16,5.625,27.64,#N/A N/A,10150,#N/A N/A,19.02,5.34,29.85,19.84,5.96,12.42,2782,96.346,#N/A N/A,130.74,57.05
2/2/2011,306.297,#N/A N/A,27.94,62.1828,25.72,#N/A N/A,2900,29650,15.98,64.48,#N/A N/A,#N/A N/A,12.2,98.013,20.84,38.08,14.24,29.66,#N/A N/A,11.535,30,41.68,33.43,16.1,48.61,75.82,#N/A N/A,#N/A N/A,107.44,#N/A N/A,27.55,#N/A N/A,12.63,2353,9.5984,53.46,14.46,#N/A N/A,25.44,30.82,#N/A N/A,#N/A N/A,8620,#N/A N/A,19.85,76.75,#N/A N/A,34.995,#N/A N/A,11.74,62.97,2.546,#N/A N/A,17.14,17.49,23.68,#N/A N/A,#N/A N/A,#N/A N/A,50.36,27.63,10.945,75.89,24.28,#N/A N/A,#N/A N/A,34.16,126.6,79.45,29.92,15.21,5.579,27.685,#N/A N/A,10150,#N/A N/A,18.84,5.36,29.91,19.815,5.91,12.34,2705,96.722,#N/A N/A,130.485,56.955
